SUBJECT_COURSE_SECTION,COURSE_TITLE,PRIMARY_INSTRUCTOR_NAME,SECONDARY_INSTRUCTOR_NAME,A_PLUS,A,A_MINUS,B_PLUS,B,B_MINUS,C_PLUS,C,C_MINUS,D_PLUS,D,D_MINUS,F,WITHDRAWN,SEMESTER,YEAR,IS_NEW
PSQF:7270:0001,Responsible Conduct of Educ Rsrch & Eval,Duhita Mahatmya - Primary Instructor,,-,18.0,-,-,0.0,-,-,0.0,-,-,0.0,-,-,0.0,Spring,2024,1
PSQF:7309:0001,Personality Assessment,Isaac Hooley - Primary Instructor,,-,13.0,-,-,0.0,-,-,0.0,-,-,0.0,-,-,0.0,Spring,2024,1
PSQF:7356:0001,Process & Outcomes in Counsel Psychother,Greg Gullickson - Primary Instructor,,-,10.0,-,-,0.0,-,-,0.0,-,-,0.0,-,-,0.0,Spring,2024,1
PSQF:7367:0001,Social Psychology and Social Systems,Yanchen Zhang - Primary Instructor,,-,11.0,-,-,0.0,-,-,0.0,-,-,0.0,-,-,0.0,Spring,2024,1
PSY:1001:0A02,Elementary Psychology,Adriana Kotchkoski - Primary Instructor,James Traer - Course Supervisor,-,24.0,-,-,1.0,-,-,0.0,-,-,0.0,-,-,1.0,Spring,2024,1
PSY:1001:0A03,Elementary Psychology,Jamie Kaminski - Primary Instructor,James Traer - Course Supervisor,-,21.0,-,-,1.0,-,-,0.0,-,-,0.0,-,-,1.0,Spring,2024,1
PSY:1001:0A04,Elementary Psychology,Jamie Kaminski - Primary Instructor,James Traer - Course Supervisor,-,20.0,-,-,3.0,-,-,0.0,-,-,0.0,-,-,3.0,Spring,2024,1
PSY:1001:0A05,Elementary Psychology,Alli Duplain - Primary Instructor,James Traer - Course Supervisor,-,23.0,-,-,1.0,-,-,0.0,-,-,1.0,-,-,1.0,Spring,2024,1
PSY:1001:0A06,Elementary Psychology,Alli Duplain - Primary Instructor,James Traer - Course Supervisor,-,22.0,-,-,2.0,-,-,0.0,-,-,0.0,-,-,1.0,Spring,2024,1
PSY:1001:0A07,Elementary Psychology,Elysia Lee - Primary Instructor,James Traer - Course Supervisor,-,19.0,-,-,5.0,-,-,0.0,-,-,0.0,-,-,2.0,Spring,2024,1
PSY:1001:0A08,Elementary Psychology,Elysia Lee - Primary Instructor,James Traer - Course Supervisor,-,26.0,-,-,0.0,-,-,0.0,-,-,0.0,-,-,1.0,Spring,2024,1
PSY:1001:0A09,Elementary Psychology,Sam Anderson - Primary Instructor,James Traer - Course Supervisor,-,20.0,-,-,3.0,-,-,0.0,-,-,0.0,-,-,1.0,Spring,2024,1
PSY:1001:0A10,Elementary Psychology,Meggan Lind - Primary Instructor,James Traer - Course Supervisor,-,22.0,-,-,1.0,-,-,0.0,-,-,0.0,-,-,1.0,Spring,2024,1
PSY:1001:0A11,Elementary Psychology,Meggan Lind - Primary Instructor,James Traer - Course Supervisor,-,21.0,-,-,1.0,-,-,1.0,-,-,0.0,-,-,1.0,Spring,2024,1
